Timestamp_ms,Datetime,RR_Interval_ms,Calculated_BPM
1779174847996,2026-05-19 15:14:07.996,610,98.36
1779174848606,2026-05-19 15:14:08.606,610,98.36
1779174849216,2026-05-19 15:14:09.216,610,98.36
1779174849826,2026-05-19 15:14:09.826,610,98.36
1779174850436,2026-05-19 15:14:10.436,610,98.36
1779174851046,2026-05-19 15:14:11.046,610,98.36
1779174851656,2026-05-19 15:14:11.656,603,99.5
1779174852259,2026-05-19 15:14:12.259,597,100.5
1779174852856,2026-05-19 15:14:12.856,591,101.52
1779174853447,2026-05-19 15:14:13.447,591,101.52
1779174854038,2026-05-19 15:14:14.038,585,102.56
1779174854623,2026-05-19 15:14:14.623,585,102.56
1779174855208,2026-05-19 15:14:15.208,585,102.56
1779174855793,2026-05-19 15:14:15.793,585,102.56
1779174856378,2026-05-19 15:14:16.378,585,102.56
1779174856963,2026-05-19 15:14:16.963,585,102.56
1779174857548,2026-05-19 15:14:17.548,585,102.56
1779174858133,2026-05-19 15:14:18.133,591,101.52
1779174858724,2026-05-19 15:14:18.724,591,101.52
1779174859315,2026-05-19 15:14:19.315,591,101.52
1779174859906,2026-05-19 15:14:19.906,591,101.52
1779174860497,2026-05-19 15:14:20.497,591,101.52
1779174861088,2026-05-19 15:14:21.088,591,101.52
1779174861679,2026-05-19 15:14:21.679,591,101.52
1779174862270,2026-05-19 15:14:22.270,591,101.52
1779174862861,2026-05-19 15:14:22.861,591,101.52
1779174863452,2026-05-19 15:14:23.452,591,101.52
1779174864043,2026-05-19 15:14:24.043,591,101.52
1779174864634,2026-05-19 15:14:24.634,591,101.52
1779174865225,2026-05-19 15:14:25.225,591,101.52
1779174865816,2026-05-19 15:14:25.816,591,101.52
1779174866407,2026-05-19 15:14:26.407,591,101.52
1779174866998,2026-05-19 15:14:26.998,591,101.52
1779174867589,2026-05-19 15:14:27.589,591,101.52
1779174868180,2026-05-19 15:14:28.180,597,100.5
1779174868777,2026-05-19 15:14:28.777,597,100.5
1779174869374,2026-05-19 15:14:29.374,610,98.36
1779174869984,2026-05-19 15:14:29.984,616,97.4
1779174870600,2026-05-19 15:14:30.600,629,95.39
1779174871229,2026-05-19 15:14:31.229,636,94.34
1779174871865,2026-05-19 15:14:31.865,636,94.34
1779174872501,2026-05-19 15:14:32.501,636,94.34
1779174873137,2026-05-19 15:14:33.137,636,94.34
1779174873773,2026-05-19 15:14:33.773,636,94.34
1779174874409,2026-05-19 15:14:34.409,636,94.34
1779174875045,2026-05-19 15:14:35.045,636,94.34
1779174875681,2026-05-19 15:14:35.681,636,94.34
1779174876317,2026-05-19 15:14:36.317,636,94.34
1779174876953,2026-05-19 15:14:36.953,636,94.34
1779174877589,2026-05-19 15:14:37.589,636,94.34
1779174878225,2026-05-19 15:14:38.225,629,95.39
1779174878854,2026-05-19 15:14:38.854,629,95.39
1779174879483,2026-05-19 15:14:39.483,623,96.31
1779174880106,2026-05-19 15:14:40.106,623,96.31
1779174880729,2026-05-19 15:14:40.729,623,96.31
1779174881352,2026-05-19 15:14:41.352,616,97.4
1779174881968,2026-05-19 15:14:41.968,616,97.4
1779174882584,2026-05-19 15:14:42.584,616,97.4
1779174883200,2026-05-19 15:14:43.200,610,98.36
1779174883810,2026-05-19 15:14:43.810,610,98.36
1779174884420,2026-05-19 15:14:44.420,610,98.36
1779174885030,2026-05-19 15:14:45.030,610,98.36
1779174885640,2026-05-19 15:14:45.640,610,98.36
1779174886250,2026-05-19 15:14:46.250,610,98.36
1779174886860,2026-05-19 15:14:46.860,610,98.36
1779174887470,2026-05-19 15:14:47.470,610,98.36
1779174888080,2026-05-19 15:14:48.080,610,98.36
1779174888690,2026-05-19 15:14:48.690,603,99.5
1779174889293,2026-05-19 15:14:49.293,603,99.5
1779174889896,2026-05-19 15:14:49.896,597,100.5
1779174890493,2026-05-19 15:14:50.493,591,101.52
1779174891084,2026-05-19 15:14:51.084,585,102.56
1779174891669,2026-05-19 15:14:51.669,585,102.56
1779174892254,2026-05-19 15:14:52.254,580,103.45
1779174892834,2026-05-19 15:14:52.834,580,103.45
1779174893414,2026-05-19 15:14:53.414,580,103.45
1779174893994,2026-05-19 15:14:53.994,580,103.45
1779174894574,2026-05-19 15:14:54.574,580,103.45
1779174895154,2026-05-19 15:14:55.154,580,103.45
