Timestamp,BPM,RRIntervals
1779349041988,93,"[629,629,629,629,629,623,616,616,603,597,597,597,597,597,597,597,597,603,603,610]"
1779349041489,93,"[629,629,629,629,623,616,616,603,597,597,597,597,597,597,597,597,603,603,610,610]"
1779349040991,93,"[629,629,629,623,616,616,603,597,597,597,597,597,597,597,597,603,603,610,610,610]"
1779349040492,93,"[629,629,623,616,616,603,597,597,597,597,597,597,597,597,603,603,610,610,610,610]"
1779349039994,93,"[629,623,616,616,603,597,597,597,597,597,597,597,597,603,603,610,610,610,610,610]"
1779349039495,94,"[623,616,616,603,597,597,597,597,597,597,597,597,603,603,610,610,610,610,610,616]"
1779349038996,95,"[616,616,603,597,597,597,597,597,597,597,597,603,603,610,610,610,610,610,616,616]"
1779349038497,95,"[616,603,597,597,597,597,597,597,597,597,603,603,610,610,610,610,610,616,616,616]"
1779349037998,97,"[603,597,597,597,597,597,597,597,597,603,603,610,610,610,610,610,616,616,616,610]"
1779349037499,98,"[597,597,597,597,597,597,597,597,603,603,610,610,610,610,610,616,616,616,610,610]"
1779349037001,98,"[597,597,597,597,597,597,597,603,603,610,610,610,610,610,616,616,616,610,610,610]"
1779349036502,98,"[597,597,597,597,597,597,603,603,610,610,610,610,610,616,616,616,610,610,610,610]"
1779349036003,98,"[597,597,597,597,597,603,603,610,610,610,610,610,616,616,616,610,610,610,610,610]"
1779349035504,98,"[597,597,597,597,603,603,610,610,610,610,610,616,616,616,610,610,610,610,610,610]"
1779349035006,98,"[597,597,597,603,603,610,610,610,610,610,616,616,616,610,610,610,610,610,610,610]"
1779349034507,98,"[597,597,603,603,610,610,610,610,610,616,616,616,610,610,610,610,610,610,610,610]"
1779349034008,98,"[597,603,603,610,610,610,610,610,616,616,616,610,610,610,610,610,610,610,610,610]"
1779349033509,97,"[603,603,610,610,610,610,610,616,616,616,610,610,610,610,610,610,610,610,610,610]"
1779349033011,97,"[603,610,610,610,610,610,616,616,616,610,610,610,610,610,610,610,610,610,610,610]"
1779349032512,96,"[610,610,610,610,610,616,616,616,610,610,610,610,610,610,610,610,610,610,610,610]"
1779349032013,96,"[610,610,610,610,616,616,616,610,610,610,610,610,610,610,610,610,610,610,610,616]"
1779349031515,96,"[610,610,610,616,616,616,610,610,610,610,610,610,610,610,610,610,610,610,616,616]"
1779349031016,96,"[610,610,616,616,616,610,610,610,610,610,610,610,610,610,610,610,610,616,616,616]"
1779349030517,96,"[610,616,616,616,610,610,610,610,610,610,610,610,610,610,610,610,616,616,616,616]"
1779349030018,95,"[616,616,616,610,610,610,610,610,610,610,610,610,610,610,610,616,616,616,616,616]"
1779349029520,95,"[616,616,610,610,610,610,610,610,610,610,610,610,610,610,616,616,616,616,616,623]"
1779349029021,95,"[616,610,610,610,610,610,610,610,610,610,610,610,610,616,616,616,616,616,623,623]"
1779349028522,96,"[610,610,610,610,610,610,610,610,610,610,610,610,616,616,616,616,616,623,623,623]"
1779349028024,96,"[610,610,610,610,610,610,610,610,610,610,610,616,616,616,616,616,623,623,623,623]"
